,address,categories,city,country,latitude,longitude,name,postalCode,province,reviews.rating,reviews.text,reviews.title,reviews.username
8177,580 S Route 3 (daniel Webster Highway) Po Box 99,"Hotels,Hotel,Lodging,Motels",Twin Mountain,US,44.266968,-71.56098,Profile Deluxe Motel,3595,NH,4.0,"I've become a snob staying in nice Hiltons and BBs, forgetting my roots traveling with my parents staying in privately owned motels along the scenic byways of our tourist destinations like the White Mountains of NH. So just wanted to share our wonderful experience staying in the Profile Deluxe Motel. New owners are making many improvements. They live right next... More","Happily surprised. So cute, comfortable and convenient.",VTWolf
8200,232 E White Horse Pike,Hotels,Absecon,US,39.447342,-74.530457,American Star Inn and Suites Atlantic City,8205,Galloway Township,1.0,"My stay at that place was horrible the bed had scum stains on it. I let the manager know and he showed me a receipt that they clean the sheets but, it was the comforter. They didn't have a coffee maker, neither did they have a iron and ironing board. The place was filthy the mirror wasn't clean the toilet has some stuff in it the hot tub supposedly was the big attraction and that was nasty too. The walls are paper thin.",I will never go to this disgusting place again,A Traveler
8266,454 Jenness Pond Rd,"Hotel,Hotels",Northwood,US,43.262497,-71.24301,Meadow Farm Bed and Breakfast,3261,NH,4.0,"You may think you're lost as you drive the long and winding road to the Meadow Farm. Stay the course and you'll be rewarded. Have stayed here about 4 times over the past few years visiting our children at summer camp. The owners, Janet and Doug, are wonderfully friendly and charming folks whom I have really enjoyed getting to know.... More","Wonderful, warm, comfortable stay!",CoachBrez
8276,139 Days Inn Dr,"Hotels,Lodging,Hotel,Motels",Kuttawa,US,37.073742,-88.12569,Days Inn Kuttawa,42055,KY,5.0,We traveled with our basketball team for a tournament. There were 18 of us using six rooms. The entire facility was extremely clean. The rooms exceeded our expectations for the price. Would definitely recommend this hotel to anyone.,Basketball trip,shanemB7709ZO
8304,5 Route De L'ile Vincent,Hotels,Lake Worth,US,45.054526,-0.658295,Hotel Relais De Margaux Golf and Spa,33460,FL,5.0,belle et grande chambre. calme. agreable de se balader le long des chemins du golf. Peu de choix de restaurants aux alentours cependant mais le restaurant de l'hotel est tres bien.,hotel tres calme hors saison en tous les cas,A Traveler
8369,7615 Jones Maltsberger Rd,Hotels,San Antonio,US,29.50357,-98.48179,Hyatt Place San Antonio Airport - Quarry Market,78216,TX,,get in and out quickly by parking in the back. unlike most hotels the lobby is just as close when from the backside of the building.,,Chris Peck
8478,380 W 7200 S,Hotels,Midvale,US,40.62079,-111.900889,Discovery Inn,84047,Cushing,2.0,"Noisy street traffic, cops arresting a screaming man outside the window, gang members knocking on door at 4:30 am looking for their home-boy messy dining room, and foyer, overflowing garbage cans outside foyer....what a dive!",,A Traveler
8552,101 Wintergreen Dr,"Luxury Hotels,Family-Friendly Hotels,Hotels & Motels,Budget Hotels,Lodging,Beach Hotels,Business Hotels,Hotel, Conference Room, and Meeting Room,Cottages,Resorts,Tourist Hotels,Weekend Getaway Hotels",Lumberton,US,34.669878,-79.002934,Holiday Inn Lumberton North - I-95,28358-1101,NC,,"Recently updated with 37"" lcd's in each room. Nice small outdoor pool. If fitness is your thing; ask for a pass to local fitness club from front desk. Only $5 each day! 24hrs Denny's on property too!",,Scott Byerly
8567,125 Old Saco Ln,"Bed & Breakfasts,Hotels & Motels",Fryeburg,US,44.016433,-70.980637,Old Saco Inn Bed & Breakfast,4037,Stow,0.0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,,xxxxxxxxxxxxxx
8569,35 W Jackson St,"Restaurants,Meeting & Event Planning Services,Hotels,Hotel,Lodging,Hotel and Brewery,Motels",Millersburg,US,40.554265,-81.91773,Hotel Millersburg,44654,Bunker Hill,5.0,"This was our 2nd stay. I must admit, I've never stayed in cleaner hotel rooms and I'm fairly picky. We brought our kids ages 10 and 16. They loved it. Its truly an 'experience' to stay here. Way better than a chain or new hotel. The location is great close to everything. You could spend hours just walking around the... More",2nd time here. Extremely clean. HUGE rooms.,savvycade
